city,state,language,localLanguage,Type,Population (2011),Population class,country
Port Blair,Andaman and Nicobar Islands,English,English,Municipal Council,99984,,India
Visakhapatnam,Andhra Pradesh,Telugu,తెలుగు,Municipal Committee.,"17,30,320",Class I,India
Vijayawada,Andhra Pradesh,Telugu,తెలుగు,Municipal Corporation / Corporation.,"10,48,240",Class I,India
Guntur,Andhra Pradesh,Telugu,తెలుగు,Municipal Corporation / Corporation,"6,51,382",Class I,India
Nellore,Andhra Pradesh,Telugu,తెలుగు,Municipal Corporation / Corporation,"5,05,258",Class I,India
Kurnool,Andhra Pradesh,Telugu,తెలుగు,Municipal Corporation / Corporation,"4,24,920",Class I,India
Rajahmundry,Andhra Pradesh,Telugu,తెలుగు,Urban Agglomeration,"4,13,616",,India
Kakinada,Andhra Pradesh,Telugu,తెలుగు,Municipal Corporation / Corporation,"3,12,255",Class I,India
Tirupati,Andhra Pradesh,Telugu,తెలుగు,Municipal Corporation / Corporation.,"2,87,035",Class I,India
Anantapur,Andhra Pradesh,Telugu,తెలుగు,Municipal Corporation / Corporation.,"2,62,340",Class I,India
Kadapa,Andhra Pradesh,Telugu,తెలుగు,Municipal Corporation / Corporation,"2,41,823",Class I,India
Vizianagaram,Andhra Pradesh,Telugu,తెలుగు,Municipality,"2,28,025",Class I,India
Eluru,Andhra Pradesh,Telugu,తెలుగు,Municipal Corporation / Corporation.,"2,14,414",Class I,India
Ongole,Andhra Pradesh,Telugu,తెలుగు,Municipality,"2,02,826",Class I,India
Nandyal,Andhra Pradesh,Telugu,తెలుగు,Municipality,"2,00,746",Class I,India
Machilipatnam,Andhra Pradesh,Telugu,తెలుగు,Municipality,"1,70,008",Class I,India
Adoni,Andhra Pradesh,Telugu,తెలుగు,Municipality,"1,66,344",Class I,India
Tenali,Andhra Pradesh,Telugu,తెలుగు,Municipality,"1,64,649",Class I,India
Chittoor,Andhra Pradesh,Telugu,తెలుగు,Municipal Corporation / Corporation.,"1,53,766",Class I,India
Hindupur,Andhra Pradesh,Telugu,తెలుగు,Municipality,"1,51,835",Class I,India
Proddatur,Andhra Pradesh,Telugu,తెలుగు,Municipality,"1,50,309",,India
Bhimavaram,Andhra Pradesh,Telugu,తెలుగు,Municipality,"1,42,280",Class I,India
Madanapalle,Andhra Pradesh,Telugu,తెలుగు,Municipality,"1,35,669",Class I,India
Guntakal,Andhra Pradesh,Telugu,తెలుగు,Municipality,"1,26,479",Class I,India
Dharmavaram,Andhra Pradesh,Telugu,తెలుగు,Municipality,"1,21,992",Class I,India
Gudivada,Andhra Pradesh,Telugu,తెలుగు,Municipality,"1,18,289",Class I,India
Srikakulam,Andhra Pradesh,Telugu,తెలుగు,Urban Agglomeration,"1,17,320",,India
Narasaraopet,Andhra Pradesh,Telugu,తెలుగు,Municipality,"1,16,329",Class I,India
Rajampet,Andhra Pradesh,Telugu,తెలుగు,Municipality,"1,09,575",,India
Tadpatri,Andhra Pradesh,Telugu,తెలుగు,Municipality,"1,08,249",Class I,India
Tadepalligudem,Andhra Pradesh,Telugu,తెలుగు,Municipality,"1,03,577",Class I,India
Chilakaluripet,Andhra Pradesh,Telugu,తెలుగు,Municipality,"1,01,550",Class I,India
Yemmiganur,Andhra Pradesh,Telugu,తెలుగు,Municipality,95149,Class II,India
Kadiri,Andhra Pradesh,Telugu,తెలుగు,Municipality,89429,Class II,India
Chirala,Andhra Pradesh,Telugu,తెలుగు,Municipality,87200,Class II,India
Anakapalle,Andhra Pradesh,Telugu,తెలుగు,Municipality,86519,Class II,India
Kavali,Andhra Pradesh,Telugu,తెలుగు,Municipality,82336,Class II,India
Palacole,Andhra Pradesh,Telugu,తెలుగు,Urban Agglomeration,76308,,India
Sullurpeta,Andhra Pradesh,Telugu,తెలుగు,Municipality,75925,,India
Tanuku,Andhra Pradesh,Telugu,తెలుగు,Municipality,72348,Class II,India
Rayachoti,Andhra Pradesh,Telugu,తెలుగు,Census town,72297,,India
Srikalahasti,Andhra Pradesh,Telugu,తెలుగు,Municipality,70854,,India
Bapatla,Andhra Pradesh,Telugu,తెలుగు,Municipality,70777,Class II,India
Naidupet,Andhra Pradesh,Telugu,తెలుగు,Municipality,65000,Class II,India
Nagari,Andhra Pradesh,Telugu,తెలుగు,Municipality,62253,Class II,India
Gudur,Andhra Pradesh,Telugu,తెలుగు,Municipality,60625,Class II,India
Vinukonda,Andhra Pradesh,Telugu,తెలుగు,Municipality,59725,Class II,India
Narasapuram,Andhra Pradesh,Telugu,తెలుగు,Municipality,58770,Class II,India
Nuzvid,Andhra Pradesh,Telugu,తెలుగు,Municipality,58590,Class II,India
